"file","gef_id","doc_type","ext","scanned","year_text","year_filename","year_meta","final_year","method"
"gef_5466_Terminal_Evaluation.pdf","5466","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5495_Terminal_Evaluation.pdf","5495","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text_deep"
"gef_5503_Terminal_Evaluation.pdf","5503","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5515_Terminal_Evaluation.docx","5515","Terminal_Evaluation","docx","FALSE","2018","NA","2018","2018","text"
"gef_5516_Terminal_Evaluation.pdf","5516","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5519_Terminal_Evaluation.pdf","5519","Terminal_Evaluation","pdf","FALSE","2021","NA","NA","2021","text"
"gef_5547_Terminal_Evaluation.xlsx","5547","Terminal_Evaluation","xlsx","FALSE","NA","NA","2010","","suspect_template_date"
"gef_5580_Terminal_Evaluation.pdf","5580","Terminal_Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_5609_Terminal_Evaluation.docx","5609","Terminal_Evaluation","docx","FALSE","NA","NA","2022","2022","ooxml_created"
"gef_5617_Terminal_Evaluation.pdf","5617","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_5618_Terminal_Evaluation.pdf","5618","Terminal_Evaluation","pdf","FALSE","2018","NA","NA","2018","text"
"gef_5649_Terminal_Evaluation.pdf","5649","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_5651_Terminal_Evaluation.xlsx","5651","Terminal_Evaluation","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_5685_Terminal_Evaluation.pdf","5685","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5694_Terminal_Evaluation.pdf","5694","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5695_Mid-Term_Review.pdf","5695","Mid-Term_Review","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5703_Mid-Term_Review.pdf","5703","Mid-Term_Review","pdf","FALSE","2023","NA","NA","2023","text"
"gef_5704_Terminal_Evaluation.pdf","5704","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_5737_Terminal_Evaluation.pdf","5737","Terminal_Evaluation","pdf","FALSE","2021","NA","NA","2021","text"
"gef_5745_Terminal_Evaluation.docx","5745","Terminal_Evaluation","docx","FALSE","2022","NA","2022","2022","text"
"gef_5746_Project_Implementation_Report.7z","5746","Project_Implementation_Report","7z","FALSE","NA","NA","NA","NA","none"
"gef_5769_Terminal_Evaluation.docx","5769","Terminal_Evaluation","docx","FALSE","NA","NA","2022","2022","ooxml_created"
"gef_5782_Terminal_Evaluation.xlsx","5782","Terminal_Evaluation","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_5802_Project_Implementation_Report.pdf","5802","Project_Implementation_Report","pdf","FALSE","2025","NA","NA","2025","text"
"gef_5807_Terminal_Evaluation.pdf","5807","Terminal_Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_5855_Terminal_Evaluation.docx","5855","Terminal_Evaluation","docx","FALSE","NA","NA","2022","2022","ooxml_created"
"gef_5902_Terminal_Evaluation.pdf","5902","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_6912_Terminal_Evaluation.pdf","6912","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_6968_Terminal_Evaluation.pdf","6968","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text_deep"
"gef_6974_Terminal_Evaluation.pdf","6974","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_6983_Project_Implementation_Report.pdf","6983","Project_Implementation_Report","pdf","FALSE","2025","NA","NA","2025","text"
"gef_6991_Mid-Term_Review.docx","6991","Mid-Term_Review","docx","FALSE","2021","NA","2021","2021","text"
"gef_7997_Mid-Term_Review.xlsx","7997","Mid-Term_Review","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_8010_Mid-Term_Review.pdf","8010","Mid-Term_Review","pdf","FALSE","2022","NA","NA","2022","text"
"gef_8020_Mid-Term_Review.pdf","8020","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_8028_Terminal_Evaluation.pdf","8028","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_8032_Mid-Term_Review.pdf","8032","Mid-Term_Review","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9110_Terminal_Evaluation.pdf","9110","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_9123_Terminal_Evaluation.docx","9123","Terminal_Evaluation","docx","FALSE","NA","NA","2021","2021","ooxml_created"
"gef_9132_Terminal_Evaluation.pdf","9132","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9133_Terminal_Evaluation.pdf","9133","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9134_Terminal_Evaluation.docx","9134","Terminal_Evaluation","docx","FALSE","2017","NA","2024","2017","text"
