"actor_code","actor_name","url","final_url","status","title","site_name","heading","formerly","lang","fetched_at"
"BF77","Institute for Research in Applied Sciences and Technologies","http://www.cnrst.bf/spip.php?rubrique9=","https://www.cnrst.bf/spip.php?rubrique9=","404 no readable page","","","","","","2026-09-14 12:47"
"BF78","Union Nationale des Producteurs d'Oignon du Burkina Faso","https://cpf-bf.org/index.php/union-nationale-des-producteurs-d-oignon-du-burkina#:~:text=L'Union%20Nationale%20des%20Producteurs,am%C3%A9liorer%20leur%20condition%20de%20production.","https://cpf-bf.org/index.php/union-nationale-des-producteurs-d-oignon-du-burkina#:~:text=L'Union%20Nationale%20des%20Producteurs,am%C3%A9liorer%20leur%20condition%20de%20production.","200","CPF - Union Nationale des Producteurs d’Oignon du Burkina","","","","en","2026-09-14 12:47"
"BF79","International Center for Research and Development on Livestock in the Subhumid Zone","https://www.cirdes.org/","https://www.cirdes.org/","403 no readable page","","","","","","2026-09-14 12:47"
"BF80","APAD - Sanguié","https://apadsanguie.wordpress.com/","https://apadsanguie.wordpress.com/","200","APAD Sanguié – Association pour la Promotion d'une Agriculture Durable","APAD Sanguié","APAD Sanguié","""],""ebook"":[""e-book""],""Embed Crowdsignal (formerly Polldaddy) content.","fr-FR","2026-09-14 12:47"
"BF8","Ministry of Higher Education, Scientific Research and Innovation, Burkina Faso","https://www.mesrsi.gov.bf/accueil","https://www.mesrsi.gov.bf/accueil","200","Accueil","","","","fr","2026-09-14 12:47"
"BF81","Burkinabè Network of Agroecological Initiatives","https://www.boost-ae.net/fr/7_108/63931d91dfc8874276c0facf/R%C3%A9seau%20Burkinab%C3%A8%20des%20Initiatives%20Agro%C3%A9cologiques%20(RBIA,%20r%C3%A9seau%20national)%20.html","https://www.boost-ae.net/fr/7_108/63931d91dfc8874276c0facf/R%C3%A9seau%20Burkinab%C3%A8%20des%20Initiatives%20Agro%C3%A9cologiques%20(RBIA,%20r%C3%A9seau%20national)%20.html","200","BOOST-AE | Réseau Burkinabè des Initiatives Agroécologiques (RBIA, réseau national)","","Réseau Burkinabè des Initiatives Agroécologiques (RBIA, réseau national)","","en","2026-09-14 12:47"
"BF83","Societe Cooperative Simplifiee des Femmes Etuveuses de Riz de la Commune de Bieha","https://www.boost-ae.net/en/7_108/63a459f8dfc8874276c14939/Soci%C3%A9t%C3%A9%20Coop%C3%A9rative%20Simplifi%C3%A9e%20des%20Femmes%20%C3%A9tuveuses%20de%20riz%20de%20la%20commune%20de%20Bi%C3%A9ha%20.html","https://www.boost-ae.net/en/7_108/63a459f8dfc8874276c14939/Soci%C3%A9t%C3%A9%20Coop%C3%A9rative%20Simplifi%C3%A9e%20des%20Femmes%20%C3%A9tuveuses%20de%20riz%20de%20la%20commune%20de%20Bi%C3%A9ha%20.html","200","BOOST-AE | Société Coopérative Simplifiée des Femmes étuveuses de riz de la commune de Biéha","","Simplified Cooperative Society of Women Parboilers of Rice in the Commune of Biéha","","en","2026-09-14 12:47"
"BF87","Technical Secretariat for Apiculture, Ministry of Animal and Fisheries Resources, Burkina Faso","https://sisa.bf/la-direction-generale-des-etudes-et-des-statistiques-sectorielles-dgess/","","no response","","","","","","2026-09-14 12:47"
"BF9","Centre National de la Recherche Scientifique et Technologique","https://council.science/fr/member/burkina-faso-centre-national-de-la-recherche-scientifique-et-technologique/","https://fr.council.science/member/burkina-faso-centre-national-de-la-recherche-scientifique-et-technologique/","200","Burkina Faso, Centre National de la Recherche Scientifique et Technologique (CNRST) - International Science Council","International Science Council","Burkina Faso, Centre National de la Recherche Scientifique et Technologique (CNRST)","","fr","2026-09-14 12:48"
"BF84","General Directorate of Land and Organization, Burkina Faso","https://www.agriculture.gov.bf/accueil","https://www.agriculture.gov.bf/accueil","200","Accueil - Ministère de l'Agriculture et des Aménagements Hydro-agricoles","Ministère de l'Agriculture et des Aménagements Hydro-agricoles","","","fr","2026-09-14 12:48"
