id,key,title,doc_date,doc_type,country,project_id,screen_status,already_have,topics,pdf_url,web_url,report_name,report_no
33700834,P117082,Tunisia - Northern Tunis Wastewater Project,2021-12-23T05:00:00Z,Implementation Completion and Results Report,Tunisia,TN-Tunisia Northern Tunis Wastewater Project -- P117082,in_scope,FALSE,"Agriculture,Water Resources",http://documents.worldbank.org/curated/en/376661641855326540/pdf/Tunisia-Northern-Tunis-Wastewater-Project.pdf,http://documents.worldbank.org/curated/en/376661641855326540,Tunisia - Northern Tunis Wastewater Project,ICR5574
29326504,P117102,Cameroon - Sanitation Project,2017-12-22T05:00:00Z,Implementation Completion and Results Report,Cameroon,CM-CM-Sanitation Project -- P117102,to_screen,FALSE,"Environment,Health, Nutrition and Population,Industry,Science and Technology Development,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/655331514908927041/pdf/ICR-Main-Document-P117102-2017-12-25-18-15-12292017.pdf,http://documents.worldbank.org/curated/en/655331514908927041,Cameroon - Sanitation Project,ICR4134
26506654,P117225,Burundi – Energy efficiency project,2016-06-08T04:00:00Z,Implementation Completion and Results Report,Burundi,BI-Burundi - Energy Efficiency Project -- P117225,to_screen,FALSE,"Energy,Environment",http://documents.worldbank.org/curated/en/136511467991929358/pdf/106476-ICR-P117225-Box396268B-PUBLIC-disclosed-6-16-2016-11-30-PM.pdf,http://documents.worldbank.org/curated/en/136511467991929358,Burundi – Energy efficiency project,106476
32011959,P117242,Tanzania - Housing Finance Project,2020-03-09T04:00:00Z,Implementation Completion and Results Report,Tanzania,TZ-The Tanzania - Housing Finance Project -- P117242,to_screen,FALSE,"Communities and Human Settlements,Finance and Financial Sector Development,International Economics and Trade,Public Sector Development,Rural Development,Urban Development",http://documents.worldbank.org/curated/en/640481588712720032/pdf/Tanzania-Housing-Finance-Project.pdf,http://documents.worldbank.org/curated/en/640481588712720032,Tanzania - Housing Finance Project,ICR4980
33161519,P117275,Gambia - Integrated Financial Management Information System Project,2021-06-03T04:00:00Z,Implementation Completion and Results Report,"Gambia, The",GM-The Gambia Integrated Financial Management  Information System Project -- P117275,to_screen,FALSE,"Energy,Governance,Information and Communication Technologies,Public Sector Development",http://documents.worldbank.org/curated/en/220281623330249507/pdf/Gambia-Integrated-Financial-Management-Information-System-Project.pdf,http://documents.worldbank.org/curated/en/220281623330249507,Gambia - Integrated Financial Management Information System Project,ICR5465
26837669,P117279,Liberia - Third Reengagement and Reform Support Program Project,2016-09-08T04:00:00Z,Implementation Completion and Results Report,Liberia,LR-Third Reengagement and Reform Support Program -- P117279,to_screen,FALSE,Conflict and Development,http://documents.worldbank.org/curated/en/248561475520035295/pdf/ICR-Main-Document-P117279-2016-09-26-15-07-09282016.pdf,http://documents.worldbank.org/curated/en/248561475520035295,Liberia - Third Reengagement and Reform Support Program Project,ICR3332
32187236,P117355,Djibouti - Rural Community Development and Water Mobilization Project,2020-06-17T04:00:00Z,Implementation Completion and Results Report,Djibouti,DJ-DJ-Rural Community Development and Water Mobilization Project (PRODERMO) -- P117355,in_scope,TRUE,"Agriculture,Water Resources",http://documents.worldbank.org/curated/en/152011593403171994/pdf/Djibouti-Rural-Community-Development-and-Water-Mobilization-Project.pdf,http://documents.worldbank.org/curated/en/152011593403171994,Djibouti - Rural Community Development and Water Mobilization Project,ICR5147
33464686,P117365,Niger - Urban Water and Sanitation Project,2021-09-28T04:00:00Z,Implementation Completion and Results Report,World,NE-Urban Water and Sanitation Project -- P117365,to_screen,FALSE,"Environment,Health, Nutrition and Population,Science and Technology Development,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/285511633382844247/pdf/Niger-Urban-Water-and-Sanitation-Project.pdf,http://documents.worldbank.org/curated/en/285511633382844247,Niger - Urban Water and Sanitation Project,ICR5455
27817335,P117382,Democratic Republic of Congo - Establishing Capacity for Core Public Management Project,2017-07-15T04:00:00Z,Implementation Completion and Results Report,"Congo, Democratic Republic of",ZR-DRC Establishing Capacity for Core Public Management -- P117382,to_screen,FALSE,"Governance,Macroeconomics and Economic Growth,Private Sector Development,Public Sector Development",http://documents.worldbank.org/curated/en/508141500561522518/pdf/ICR-DRC-PRC-GAP-SGPD-Cleared-Final-07172017.pdf,http://documents.worldbank.org/curated/en/508141500561522518,Democratic Republic of Congo - Establishing Capacity for Core Public Management Project,ICR4032
32025122,P117407,"Egypt, Arab Republic of - Helwan South Power Project",2020-04-30T04:00:00Z,Implementation Completion and Results Report,"Egypt, Arab Republic of",EG-EG - Helwan South Power Project -- P117407,to_screen,FALSE,"Energy,Industry,Social Protections and Labor",http://documents.worldbank.org/curated/en/630231589209079067/pdf/Egypt-Arab-Republic-of-Helwan-South-Power-Project.pdf,http://documents.worldbank.org/curated/en/630231589209079067,"Egypt, Arab Republic of - Helwan South Power Project",ICR4964
31440499,P117617,Malawi - Shire River Basin Management Program Project,2019-06-03T04:00:00Z,Implementation Completion and Results Report,Malawi,MW-Malawi: Shire River Basin Management Program (Phase-I) Project -- P117617,to_screen,TRUE,"Environment,Water Resources",http://documents.worldbank.org/curated/en/584761569595531675/pdf/Malawi-Shire-River-Basin-Management-Program-Project.pdf,http://documents.worldbank.org/curated/en/584761569595531675,Malawi - Shire River Basin Management Program Project,ICR4750
